Fri Feb 07 2020 21:38:16 GMT-0500 (Eastern Standard Time) - Run Time: 3498ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig      trip_m      total
          15        1223         12
          15        1224         12
          15        1230         12
          15        1237         15
          15        1261         12
          15        1267         17
          15        1330         15
          15        1349          3
          15        1359         53
          15        1370         19
          15        1400         30
          15        1449         19
          15        1452         12
          15        1477         14
          15        1505         10
          15        1537         14
          15        1554         16
          15        1559         12
          15        1560          5
          15        1569         11
          15        1576         73
          15        1596         27
          15        1612         13
          15        1615         14
          15        1642         26
          15        1647         14
          15        1661         14
          15        1663         26
          15        1675          5
          15        1705         14
          15        1715         13
          15        1716         13
          15        1723         11
          15        1779         14
          15        1807         27
          15        1827         52
          15        1828         26
          15        1850         44
          15        1859         12
          15        1870         14
          15        1891         19
          15        1896         16
          15        1911          9
          15        1930         19
          15        1948         14
          15        1987         14
          15        2011         14
          15        2037          7
          15        2042         19
          15        2061         10
          15        2081         14
          15        2082         16
          15        2094         19
          15        2114         14
          15        2127         14
          15        2143         18
          15        2178         11
          15        2181         31
          15        2199         17
          15        2213         17
          15        2246         13
          15        2277         15
          15        2292         27
          15        2299         13
          15        2318         19
          15        2340         24
          15        2382          9
          15        2398         44
          15        2405         10
          15        2411         10
          15        2418         25
          15        2419         24
          15        2429         10
          15        2447         17
          15        2515         25
          15        2586         58
          15        2601         14
          15        2629         15
          15        2643         15
          15        2646         15
          15        2664         17
          15        2695         14
          15        2699         12
          15        2706         16
          15        2710         13
          15        2725         19
          15        2786         84
          15        2817         51
          15        2831         16
          15        2839          6
          15        2846         13
          15        2849         17
          15        2880         29
          15        2938         10
          15        2956         26
          15        3022         12
          15        3029         14
          15        3034         12
          15        3095         14
          15        3119         14
          15        3207         16
          15        3244         27
          15        3247         10
          15        3285          8
          15        3317         14
          15        3342         24
          15        3380         19
          15        3384         12
          15        3393         14
          15        3401         20
          15        3446         13
          15        3468         15
          15        3477         15
          15        3480         17
          15        3505         21
          15        3518         14
          15        3524         14
          15        3568        121
          15        3802         22
          15        3837         12
          15        3854         23
          15        3859         23
          15        3901         12
          15        4126         17
          15        4162         33
          15        4439         17
          15        4507          5
          15        4547         22
          15        5650         20
          16         208         42
          16         212         17
          16         240         25
          16         288         25
          16         301          4
          16         320         25
          16         327          8
          16         342         14
          16         356         19
          16         359        119
          16         414         17
          16         458         14
          16         464         29
          16         489         28
          16         510         30
          16         534         67
          16         542         14
          16         584         27
          16         609         17
          16         610         67
          16         635         13
          16         636         10
          16         702          3
          16         724         21
          16         764         60
          16         769         13
          16         781         20
          16         804         53
          16         849         15
          16         859          6
          16         869          9
          16         908          4
          16         922         18
          16         938         58
          16         948          6
          16         952         21
          16         955         13
          16        1000         14
          16        1038          3
          16        1069         17
          16        1090         21
          16        1124         27
          16        1159         21
          16        1188         21
          16        1260         17
          16        1323         21
          16        1340         21
          16        1355         22
          16        1418         12
          16        1428         21
          16        1448         11
          16        1490          6
          16        1499         14
          16        1513         12
          16        1516         18
          16        1525         38
          16        1526         12
          16        1534         17
          16        1543          3
          16        1582         21
          16        1616         16
          16        1683          9
          16        1688          6
          16        1693          7
          16        1705         21
          16        1740         12
          16        1776         25
          16        1785          5
          16        1788          5
          16        1826         41
          16        1841         11
          16        1853         12
          16        1884         20
          16        1886         35
          16        1902         11
          16        1933          9
          16        1936         19
          16        1957         21
          16        1961          5
          16        1976         12
          16        1986         12
          16        2001          6
          16        2011         12
          16        2040         21
          16        2049         35
          16        2074         17
          16        2081          9
          16        2093         20
          16        2138         21
          16        2153         36
          16        2155         25
          16        2175         21
          16        2177          9
          16        2186          6
          16        2203         10
          16        2208         14
          16        2268         18
          16        2278         31
          16        2295          7
          16        2316         12
          16        2330         25
          16        2331          5
          16        2346         12
          16        2359          7
          16        2384          9
          16        2414         12
          16        2432         12
          16        2461         12
          16        2472         10
          16        2485         21
          16        2486         34
          16        2496         12
          16        2550         15
          16        2565          9
          16        2587         12
          16        2603         33
          16        2609         10
          16        2625         12
          16        2667         11
          16        2673         32
          16        2674         12
          16        2690         28
          16        2713         21
          16        2739         11
          16        2745         38
          16        2789         50
          16        2803         14
          16        2836         15
          16        2844          6
          16        2854         22
          16        2859          6
          16        2876         21
          16        2894          8
          16        2970         35
          16        2988          9
          16        3018         12
          16        3030         14
          16        3044         20
          16        3061         12
          16        3062         27
          16        3233         11
          16        3280          7
          16        3307         21
          16        3314         10
          16        3334         53
          16        3349          3
          16        3386         13
          16        3397         12
          16        3409         18
          16        3430         21
          16        3464         12
          16        3480          7
          16        3540         12
          16        3561         25
          16        3589         12
          16        3674         11
          16        3804          5
          16        3863          4
          16        3868         19
          16        3924         12
          16        3936         12
          16        4102         17
          16        4174         10
          16        4241         31
          16        4364         23
          16        4409         19
          16        4636         12
          16        4663         58
          16        4896         12
          16        4970         17
          16        4993         22
          16        5130          9
          16        6007         12
          17          59         37
          17          81         60
          17          84         18
          17         118         50
          17         156         24
          17         175         28
          17         212         17
          17         228         37
          17         240         25
          17         257         68
          17         258         27
          17         276         11
          17         285         56
          17         334         15
          17         346         43
          17         361         49
          17         417         18
          17         443         12
          17         451         30
          17         489         28
          17         494         24
          17         535         14
          17         547         82
          17         555         31
          17         595         18
          17         654         13
          17         664         53
          17         673         26
          17         721         20
          17         724         21
          17         749         51
          17         805          8
          17         818         28
          17         836          9
          17         850         20
          17         881         22
          17         886         18
          17         904          9
          17         909         11
          17         933         21
          17         934         10
          17         947         10
          17         998         18
          17        1000         22
          17        1019         60
          17        1062         60
          17        1106         23
          17        1122         19
          17        1137         14
          17        1163         10
          17        1176          5
          17        1183         16
          17        1185         30
          17        1213         30
          17        1239         38
          17        1255         37
          17        1265         13
          17        1292         30
          17        1299         51
          17        1314         82
          17        1319         27
          17        1331         11
          17        1348         31
          17        1353         11
          17        1381         46
          17        1439         17
          17        1443         30
          17        1456         10
          17        1471         16
          17        1475         13
          17        1490         16
          17        1497          9
          17        1504         56
          17        1512         22
          17        1525         63
          17        1559         21
