Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          25          80         67
          25          83          7
          25          84         64
          25          86         33
          25          89         81
          25          90        124
          26           4         19
          26          14         30
          26          15         12
          26          16         43
          26          18         13
          26          20         72
          26          21         15
          26          22        146
          26          24          5
          26          25        119
          26          26        155
          26          27         11
          26          30          5
          26          34        192
          26          35         62
          26          36         29
          26          37         52
          26          38         43
          26          44         35
          26          52         16
          26          54         22
          26          55         19
          26          56         17
          26          60         11
          26          62         17
          26          63         14
          26          64          9
          26          65         26
          26          66          5
          26          67         36
          26          69         19
          26          77         12
          26          78         41
          26          79        163
          26          81         14
          26          84         19
          26          89         14
          26          90         54
          27          26         14
          28          14         12
          28          30         33
          29           9         37
          29          21         39
          29          25         21
          29          31          6
          29          35         39
          29          36         12
          29          37         10
          29          38         19
          29          41         85
          29          58         10
          29          59         71
          29          60         22
          29          62         30
          29          66         37
          29          77         12
          29          78         30
          29          84         17
          29          90         41
          30          19          4
          30          45         18
          30          52         56
          30          55          4
          30          66         25
          30          82         14
          31          15         27
          31          17          5
          31          19         21
          31          23          5
          31          24          5
          31          25         12
          31          32         17
          31          37         19
          31          43         12
          31          59          6
          31          60         35
          31          61         55
          31          62         26
          31          64          9
          31          65         29
          31          79         10
          31          80         40
          31          81          7
          31          84         28
          32          21         10
          32          22         19
          32          38         30
          32          42         18
          32          48         13
          32          52         28
          32          57         22
          32          62         12
          32          64         10
          32          66         38
          32          89         20
          32          90         12
          33          20         15
          33          25         68
          33          34         20
          33          37          7
          33          38         30
          33          39         14
          33          54         18
          33          59         12
          33          60         10
          33          61         22
          33          62         15
          33          64         34
          33          72        123
          33          75          6
          33          76        152
          33          84         15
          33          85          8
          33          89         27
          34           1         21
          34           2         17
          34          15         95
          34          16         40
          34          18         16
          34          21         18
          34          24         68
          34          25         47
          34          26        100
          34          33         20
          34          34         75
          34          35         10
          34          36         21
          34          37         61
          34          38         19
          34          39         53
          34          42         38
          34          45         53
          34          46         28
          34          50         30
          34          52         20
          34          53          4
          34          55         36
          34          56         13
          34          59         33
          34          62         18
          34          65         41
          34          67          5
          34          68         14
          34          77         18
          34          79         22
          34          81         10
          34          84         32
          34          85         16
          35           1         14
          35          14         22
          35          15         32
          35          16         12
          35          20          5
          35          21         36
          35          22         68
          35          24         10
          35          25        245
          35          26         60
          35          31          5
          35          34         67
          35          35         93
          35          36         29
          35          37         10
          35          38         16
          35          39         21
          35          41         22
          35          42          9
          35          43         26
          35          45         19
          35          46         84
          35          48         29
          35          49         23
          35          50         35
          35          51         30
          35          52         24
          35          54         19
          35          55         38
          35          57         16
          35          58         18
          35          60         23
          35          61         40
          35          62         15
          35          63         55
          35          64         54
          35          65         36
          35          66         39
          35          67         15
          35          68         72
          35          69         52
          35          71         73
          35          75         11
          35          76         23
          35          78         18
          35          79        110
          35          81         14
          35          82         17
          35          84         19
          35          86         12
          35          89         20
          35          90         80
          36           1          4
          36          11         33
          36          14         27
          36          15         61
          36          16         22
          36          18          5
          36          20          4
          36          21        252
          36          22        188
          36          23        148
          36          24         24
          36          25        255
          36          26        126
          36          30         22
          36          32         19
          36          34        112
          36          35         79
          36          36        117
          36          37         62
          36          38         69
          36          39         23
          36          40         37
          36          41        149
          36          42         70
          36          43         39
          36          44         15
          36          45         79
          36          46        146
          36          48         14
          36          50         39
          36          51          6
          36          52        189
          36          53         42
          36          54         92
          36          55         42
          36          57         59
          36          59        163
          36          60         78
          36          61         25
          36          62         88
          36          63         44
          36          64        115
          36          65        127
          36          66        138
          36          67        110
          36          68         13
          36          69         42
          36          71         71
          36          72          5
          36          75         96
          36          77         32
          36          78         92
          36          79         65
          36          82         20
          36          84         97
          36          89        102
          36          90        157
          37           1         14
          37          14         18
          37          16         58
          37          17        100
          37          19         29
          37          20         25
          37          21         53
          37          22         84
          37          23          5
          37          24          5
          37          25        162
          37          26         14
          37          31         19
          37          34         88
          37          35         61
          37          36          9
          37          37        140
          37          38         69
          37          40        100
          37          41         14
          37          42        110
