Fri Feb 07 2020 22:29:44 GMT-0500 (Eastern Standard Time) - Run Time: 2908ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 600-900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig      trip_m      total
           1         171          8
           1        1933         17
           1        2571         14
           1        4094         15
           1        5377         14
           1        5731         14
           1        5905         15
           1        6140          4
           1        6144         20
           1        6182         41
           1        6247         20
           1        6319         16
           1        6362          7
           1        6432         14
           1        6537         15
           1        6554          6
           1        6557         22
           1        6725         14
           1        7231         14
           1        7596          7
           1        7618         23
           1        9794          7
           3        2994         15
           3        3245         27
           4         894         15
           4        2097         10
           4        4817         47
           4        5646          9
           5         894         15
           5         985         10
           5        1482         15
           5        3420         20
           5        3801         15
           5        3834          5
           5        4765          8
           6           0         12
           6        3648         14
           9        2330         25
           9        4827         17
          11        2917         14
          11        3220         38
          13        1173         21
          14         908         30
          14        1008         41
          14        1123         54
          14        1179         14
          14        1827         14
          14        1922         18
          14        2070         14
          14        2102         18
          14        2141         19
          14        2242         19
          14        2247         15
          14        2370         22
          14        2593         14
          14        2708         18
          14        3097         18
          14        3276         14
          14        3575         14
          14        5740         19
          15         101         16
          15         197         14
          15         401         14
          15         524         14
          15         635         13
          15         714         19
          15         774          5
          15         995         26
          15        1036         14
          15        1224         12
          15        1330         15
          15        1370         19
          15        1400         30
          15        1449         19
          15        1452         12
          15        1477         14
          15        1537         14
          15        1559         12
          15        1596         27
          15        1615         14
          15        1647         14
          15        1661         14
          15        1675          5
          15        1715         13
          15        1723         11
          15        1779         14
          15        1807         27
          15        1827         52
          15        1828         11
          15        1850         44
          15        1870         14
          15        1896         16
          15        1930         19
          15        1948         14
          15        1987         14
          15        2011         14
          15        2042         19
          15        2061         10
          15        2082         16
          15        2094         19
          15        2114         14
          15        2127         14
          15        2143         18
          15        2178         11
          15        2213         17
          15        2299         13
          15        2429         10
          15        2515         14
          15        2586         58
          15        2601         14
          15        2643         15
          15        2695         14
          15        2706         16
          15        2710         13
          15        2725         19
          15        2817         16
          15        2831         16
          15        2846         13
          15        2849         17
          15        2956         26
          15        3022         12
          15        3029         14
          15        3034         12
          15        3095         14
          15        3119         14
          15        3207         16
          15        3244         27
          15        3247         10
          15        3342         24
          15        3384         12
          15        3480         17
          15        3518         14
          15        3524         14
          15        3802         22
          15        3837         12
          15        3901         12
          15        5189         16
          15        5398         17
          15        5463         15
          15        5593         17
          16         240         12
          16         356          9
          16         359        119
          16         610         67
          16         955         13
          16        1069         17
          16        1513         12
          16        1525         38
          16        1543          3
          16        1582         21
          16        1683          9
          16        1826          8
          16        1933          9
          16        1957         21
          16        1961          5
          16        1976         12
          16        2011         12
          16        2040         21
          16        2049         35
          16        2153         36
          16        2177          9
          16        2208         14
          16        2278         31
          16        2295          7
          16        2330         25
          16        2346         12
          16        2359          7
          16        2432         12
          16        2461         12
          16        2472         10
          16        2485         21
          16        2496         12
          16        2565          9
          16        2587         12
          16        2625         12
          16        2674         12
          16        2690         28
          16        2713         21
          16        2745         38
          16        2894          8
          16        2988          9
          16        3061         12
          16        3280          7
          16        3386         13
          16        3397         12
          16        3430         21
          16        3464         12
          16        3480          7
          16        3589         12
          16        4636         12
          16        4896         12
          16        5130          9
          16        5997         13
          17          84          9
          17         156         12
          17         257         34
          17         285         28
          17         346         22
          17         489         28
          17         721         20
          17         724         21
          17         749         26
          17         934         10
          17        1019         30
          17        1163         10
          17        1176          5
          17        1185         30
          17        1239         38
          17        1299         25
          17        1314         82
          17        1381         46
          17        1490         16
          17        1525         63
          17        1574          5
          17        1622         14
          17        1632         31
          17        1679          7
          17        1718          7
          17        1724         28
          17        1737         30
          17        1742         82
          17        1788         29
          17        1795         21
          17        1815         13
          17        1822         31
          17        1865         16
          17        1882          7
          17        1890         16
          17        1921         12
          17        1944         19
          17        1959         12
          17        2004         31
          17        2006         16
          17        2012         21
          17        2016          5
          17        2018         31
          17        2040         10
          17        2058          5
          17        2095         21
          17        2109         20
          17        2117          5
          17        2164         20
          17        2172         23
          17        2182         10
          17        2208         21
          17        2229         23
          17        2231         15
          17        2269         10
          17        2297          7
          17        2325         11
          17        2340         11
          17        2343         27
          17        2379         18
