Fri Feb 07 2020 22:17:30 GMT-0500 (Eastern Standard Time) - Run Time: 3118ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1900-2400
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
           1           3         41
           1           4         11
           1          14          8
           1          24         48
           2           3         12
           2          25          8
           2          34         17
           2          40         30
           3           1         58
           3          17         26
           3          21         14
           3          22         54
           3          25         12
           3          79         30
           3          90         13
           4           1         11
           4           5         15
           4          16         16
           4          17         21
           4          25         14
           4          62         15
           4          64         18
           4          76         35
           5          11          7
           5          15         11
           5          22         18
           5          25         17
           5          47        153
           5          66         12
           5          77         12
           5          89         20
           5          90         12
           6           3         10
           6          21         28
           6          25         16
           6          60         14
           6          66         18
           6          77         21
           6          79         15
           6          84         16
           6          89         41
           8           3          9
           9          36         11
           9          51         15
           9          80         18
          10          15        121
          10          16         25
          10          41         37
          10          46         29
          10          58         28
          10          65         29
          10          76         27
          10          80         14
          10          89         41
          11          21         38
          11          25         25
          11          43         29
          11          50         24
          11          60         43
          11          65         27
          11          67         25
          11          71         14
          13          71          5
          14           1          8
          14          15         13
          14          16         49
          14          17         18
          14          24          5
          14          26         26
          14          60         22
          14          72         24
          15          10         52
          15          14         19
          15          15         39
          15          17         14
          15          19          5
          15          20          7
          15          21         38
          15          25         26
          15          36         17
          15          37         10
          15          40         65
          15          41         17
          15          42         84
          15          44        166
          15          52         73
          15          57         19
          15          60         11
          15          65         29
          15          66         30
          15          67         34
          15          77         14
          15          78         34
          15          84         17
          15          88         20
          15          89         19
          16          10         25
          16          14         63
          16          20         18
          16          21         37
          16          22         16
          16          24         15
          16          25         21
          16          26         27
          16          31         21
          16          40         39
          16          47         10
          16          52         11
          16          59         33
          16          64          3
          16          66         12
          16          73         17
          16          90         22
          17           3         26
          17          15         14
          17          17         37
          17          18         12
          17          20         20
          17          21         30
          17          25         69
          17          35         31
          17          36         19
          17          38         11
          17          39         13
          17          40         28
          17          42         73
          17          50         38
          17          52         31
          17          55         21
          17          66         55
          17          67          8
          17          71         14
          17          78         47
          17          81         14
          18          17         44
          18          19         58
          18          21         16
          18          37         15
          18          40         14
          18          57         10
          18          65         16
          18          68         20
          18          69         11
          19          15          5
          19          18         58
          19          19         44
          19          20          3
          19          21         29
          19          22         10
          19          23         20
          19          38         23
          19          41         19
          19          42         17
          19          69         14
          20           5         17
          20          16         30
          20          17         60
          20          19          3
          20          20          5
          20          21         52
          20          22          6
          20          24          5
          20          26        108
          20          37          3
          20          38         15
          20          43         22
          20          45         37
          20          51          4
          20          56         35
          20          65         17
          20          89         65
          21          11         38
          21          16         20
          21          17         16
          21          18         16
          21          19         30
          21          20         10
          21          21        169
          21          22          6
          21          24         36
          21          25         18
          21          35          8
          21          36         19
          21          37          4
          21          38         12
          21          39         36
          21          40          6
          21          41         33
          21          46         44
          21          47         58
          21          51         24
          21          52         27
          21          68         16
          21          69         91
          21          71         26
          21          72         57
          21          78         18
          21          84         23
          21          89         80
          21          90         67
          22          16         22
          22          18         23
          22          20         17
          22          21          6
          22          23         58
          22          25         61
          22          26         12
          22          38         12
          22          39         39
          22          40         15
          22          42         18
          22          43         13
          22          45         11
          22          48          3
          22          50         13
          22          52         11
          22          54          5
          22          63         15
          22          64         12
          22          66        205
          22          67         25
          22          71         10
          22          72         17
          22          75        106
          22          76          6
          22          79         22
          22          84         17
          23          16         12
          23          19         20
          23          22        106
          23          23         80
          23          37         18
          23          40         24
          23          45         18
          23          49         18
          23          57         22
          23          71          5
          23          72         63
          23          90         18
          24           1         19
          24          19          3
          24          21         37
          24          24         13
          24          25          9
          24          33          6
          24          37         11
          24          50         59
          24          52         58
          24          69         25
          24          71         40
          24          76          7
          24          84         21
          24          89         20
          24          90         19
          25           2          8
          25           4         15
          25          11         25
          25          15         25
          25          16         90
          25          17        155
          25          18         21
          25          20         17
          25          21         23
          25          22         53
          25          23         30
          25          25        135
          25          26         20
          25          34         21
          25          35         65
          25          36         39
          25          37         40
          25          38         65
          25          40         19
          25          42         40
          25          44         41
          25          45          8
          25          46         15
          25          48         15
          25          50         18
          25          53         12
          25          55         20
          25          56         60
          25          59         22
          25          60         33
          25          61         22
          25          62         74
          25          63         49
          25          64         18
          25          66         97
          25          67        383
          25          72         26
          25          73        132
          25          75         15
          25          77         50
          25          78         26
          25          79         44
          25          81         32
          25          84         41
          25          89         11
          25          90         16
          26          15         31
          26          17         23
          26          21         15
          26          25         34
          26          26         78
          26          31         12
          26          36         12
          26          37         16
          26          38         33
          26          41          4
          26          62         45
          26          63         15
          26          65         28
          26          67         13
          26          77         12
          26          90         36
          28          34         10
          28          62         11
          29          21         44
          29          41         47
          29          58         10
          29          68         18
          30          77         28
          31          26         31
          31          32         17
          31          61         14
          31          65         54
          31          79         21
          31          80         26
          31          82          8
          31          84          8
          32          61         17
          33          52         11
          33          67          8
          33          71          5
          34           1         21
          34          14         12
          34          15         53
          34          18         36
          34          21         30
          34          25         61
          34          26         23
          34          35         23
          34          37         10
          34          38         44
          34          43         49
          34          45         15
          34          47         14
          34          53         31
          34          65         54
          34          66         36
          34          68         14
          34          70         36
          34          72         28
          34          85         16
          34          89         15
          35          16         10
          35          17         54
          35          21          8
          35          22         13
          35          25         67
          35          34         55
          35          35         70
          35          37         24
          35          39          3
          35          40         37
          35          43         26
          35          46         22
          35          51          9
          35          55         12
          35          59         45
          35          60         23
          35          62         20
          35          65         18
          35          66         23
          35          73         31
          35          78         29
          35          81         24
          35          89         11
          35          90         53
          36           9         11
          36          15         30
          36          17         15
          36          18         33
          36          19          8
          36          21         50
          36          23         45
          36          25        102
          36          26         23
          36          28         11
          36          34         22
          36          35         21
          36          36         24
          36          38         51
          36          41         23
          36          45         21
          36          46         27
          36          50         40
          36          51         19
          36          52         56
          36          55         67
          36          60         30
          36          62         20
          36          63         24
          36          64         98
          36          65          6
          36          66         86
          36          67         48
          36          68          4
          36          71         50
          36          75         14
          36          77         18
          36          78         47
          36          82         18
          36          84         23
          36          90         75
          37          15         44
          37          17         18
          37          18         22
          37          20         29
          37          21         24
          37          22         71
          37          24         43
          37          26         78
          37          34         12
          37          35         24
          37          37         29
          37          38         57
          37          41         23
          37          46         44
          37          50         39
          37          51         10
          37          52         62
          37          59         28
          37          60         45
          37          62         17
          37          65         42
          37          67         14
          37          70         25
          37          71         33
          37          76         11
          37          77         22
          37          79          8
          37          82         14
          37          89         34
          37          90         28
          38          17         66
          38          18         68
          38          19         15
          38          20         25
          38          21        155
          38          22         49
          38          24        256
          38          25         65
          38          26         19
          38          35         44
          38          37         75
          38          38         46
          38          39         11
          38          41         71
          38          42         92
          38          44         30
          38          45         30
          38          46        119
          38          47         18
          38          48         57
          38          50         14
          38          52         78
          38          53         55
          38          55         30
          38          59         31
          38          62         13
          38          63         11
          38          65         80
          38          66        167
          38          67         62
          38          71         26
          38          74         22
          38          76         73
          38          77         35
          38          78         37
          38          79         90
          38          84         19
          38          89         38
          38          90         87
          39          16         21
          39          17         16
          39          19          3
          39          21         12
          39          22         26
          39          25         35
          39          37          9
          39          38         15
          39          39         49
          39          40         11
          39          41         16
          39          43         68
          39          50         22
          39          61         22
          39          62         15
          39          64         14
          39          66         17
          39          68         18
          39          69         13
          39          76         16
          39          84         19
          40          15         21
          40          16         18
          40          17         59
          40          20          3
          40          21        131
          40          22         53
          40          34         18
          40          35         20
          40          38        170
          40          40         15
          40          41         23
          40          42         24
          40          44         29
          40          45         11
          40          46         58
          40          50         41
          40          58          9
          40          67         24
          40          68         67
          40          78         16
          40          79         26
          40          84         10
          40          88         30
          40          89         22
          40          90         37
          41          15         17
          41          21         76
          41          39         16
          41          40         26
          41          44         48
          41          46         64
          41          51         27
          41          63         17
          41          64         18
          41          65         23
          41          77         24
          41          79         18
          41          89         17
          41          90         32
          42          17         67
          42          21         85
          42          22         85
          42          37         10
          42          40        100
          42          41         19
          42          42         48
          42          43         18
          42          46         60
          42          47         18
          42          52         76
          42          65          8
          42          67         24
          42          68         43
          42          69         37
          42          71         71
          42          73         30
          42          79         83
          42          89         12
          42          90         22
          43          14         20
          43          18         36
          43          20          6
          43          21         88
          43          25         12
          43          34          7
          43          35         46
          43          37         11
          43          38         35
          43          40         26
          43          41         61
          43          42         14
          43          43         43
          43          49         18
          43          59         11
          43          60         17
          43          64         34
          43          65         26
          43          66         37
          43          69         17
          43          70         20
          43          71         24
          43          72         33
          43          73         27
          43          79         18
          43          84         35
          43          89         11
          44          15         23
          44          17         16
          44          21         38
          44          34         15
          44          36          9
          44          38         21
          44          44         22
          44          52         19
          44          66         33
          44          71         21
          44          90          4
          45          15          8
          45          21         42
          45          22         57
          45          25         47
          45          34         53
          45          36         21
          45          37         15
          45          38         63
          45          39         11
          45          40          5
          45          41         16
          45          43         63
          45          44        105
          45          45        240
          45          46         44
          45          51         37
          45          52         15
          45          54        101
          45          55         48
          45          59         14
          45          60         21
          45          65         30
          45          67         35
          45          71        102
          45          72         72
          45          73         13
          45          75         87
          45          76          7
          45          79         38
          45          84         45
          45          89         48
          45          90         42
          46          15         27
          46          16         13
          46          17         16
          46          20         12
          46          21         14
          46          22         28
          46          25         12
          46          26         19
          46          36         27
          46          38         18
          46          39         10
          46          40         27
          46          41         96
          46          42         47
          46          44         15
          46          45         63
          46          46        109
          46          47          4
          46          50         62
          46          63         17
          46          64         15
          46          66         37
          46          68         18
          46          69         18
          46          71         49
          46          72          5
          46          73         14
          46          74         24
          46          75          6
          46          82         26
          46          89         22
          47           1         15
          47           5        153
          47          16         10
          47          19         86
          47          21         44
          47          22         16
          47          25         10
          47          39         91
          47          42         18
          47          46         97
          47          66         22
          47          67         22
          47          71         16
          47          79         18
          47          82         19
          47          90         56
          48          17         72
          48          22          3
          48          23         37
          48          24         67
          48          40         15
          48          42         34
          48          52         15
          48          64         10
          48          68         50
          48          71         61
          48          77         12
          49          15         13
          49          21         23
          49          23         22
          49          35          5
          49          36         15
          49          40         30
          49          42         56
          49          46         37
          49          51         21
          49          52         81
          49          62         32
          49          67         20
          49          70         36
          49          71         62
          49          73          7
          49          76          6
          49          79         56
          49          84         22
          49          90         17
          50          11         24
          50          14         44
          50          15         23
          50          17         53
          50          19         12
          50          21         45
          50          22         32
          50          23         47
          50          25         54
          50          26          8
          50          34         40
          50          37         33
          50          38         30
          50          40         22
          50          41         58
          50          42         23
          50          43         13
          50          44         33
          50          46         77
          50          48         12
          50          50        184
          50          51         64
          50          52         14
          50          53         12
          50          54         31
          50          55         21
          50          58         32
          50          67         38
          50          68         31
          50          69         12
          50          70          7
          50          72         49
          50          73        213
          50          77         23
          50          78         34
          50          80         13
          50          84         23
          50          89         36
          50          90         23
          51          15         14
          51          20          9
          51          21        120
          51          24         11
          51          26         14
          51          35          9
          51          36          4
          51          37         46
          51          38         55
          51          41         24
          51          42         20
          51          43         13
          51          45         36
          51          46         29
          51          50          5
          51          51         78
          51          55        165
          51          62         30
          51          64         40
          51          65         18
          51          66         27
          51          67        156
          51          68         25
          51          69         13
          51          70         82
          51          71         81
          51          75         49
          51          77         38
          51          79         21
          51          90         48
          52           3         23
          52          10         56
          52          15         56
          52          16         23
          52          17        185
          52          18         32
          52          20          8
          52          21        287
          52          22         39
          52          23        137
          52          24         84
          52          25         30
          52          26         14
          52          34         25
          52          37         56
          52          38         90
          52          39         13
          52          41        140
          52          42        120
          52          45         65
          52          46         18
          52          48         53
          52          49         29
          52          50        121
          52          51         45
          52          52         35
          52          53         11
          52          54         29
          52          55         30
          52          57         53
          52          59         50
          52          62         22
          52          63         90
          52          64         30
          52          65         76
          52          66         67
          52          67         67
          52          68         39
          52          71          5
          52          72         43
          52          77         42
          52          78         35
          52          79         87
          52          80         18
          52          82         12
          52          84         86
          52          89        113
          52          90        167
          53          18         15
          53          23         46
          53          25         25
          53          36         41
          53          38         15
          53          42         22
          53          46         17
          53          50        110
          53          53         73
          53          60         22
          53          65         47
          53          66         38
          53          67         30
          53          69         47
          53          71         22
          53          75         13
          53          79         51
          53          80         26
          54          21         33
          54          25         25
          54          26         27
          54          34         36
          54          36         38
          54          37         15
          54          38         71
          54          39         15
          54          40         19
          54          41         18
          54          42         19
          54          44         30
          54          45        126
          54          46         17
          54          47         20
          54          50         59
          54          52         18
          54          53         22
          54          59         31
          54          60         25
          54          62        124
          54          63         15
          54          64         31
          54          65         37
          54          66         33
          54          68          4
          54          71         10
          54          77         65
          54          79         26
          54          84         37
          54          89         55
          54          90         74
          55          15         30
          55          16         21
          55          17         21
          55          21         71
          55          25         73
          55          26         19
          55          30          4
          55          34         97
          55          35         21
          55          36         13
          55          37          9
          55          38         83
          55          40         12
          55          43         36
          55          45        120
          55          46         29
          55          47         18
          55          48         36
          55          50         49
          55          51         57
          55          55         12
          55          57         32
          55          59         81
          55          60         16
          55          61         21
          55          62         49
          55          63         31
          55          64         74
          55          65        104
          55          66        207
          55          67         66
          55          71         52
          55          72          5
          55          75          7
          55          76         37
          55          77        119
          55          78         34
          55          79         46
          55          80         18
          55          84         23
          55          89         86
          55          90        191
          56           1          6
          56          16         21
          56          17         20
          56          24         17
          56          25         24
          56          26         17
          56          34         50
          56          35          3
          56          36         59
          56          37         15
          56          38         16
          56          41         17
          56          50         12
          56          52         19
          56          55          8
          56          57         35
          56          59         19
          56          61         18
          56          62         16
          56          64         81
          56          65         34
          56          66         70
          56          75         35
          56          76         47
          56          77         89
          56          81         35
          56          90         57
          57           1         20
          57          15         55
          57          16         32
          57          17         23
          57          19          3
          57          21        131
          57          22         31
          57          23         11
          57          25         88
          57          26         28
          57          30         20
          57          34         56
          57          35         30
          57          37         13
          57          38         13
          57          40         11
          57          42         58
          57          44         24
          57          45         77
          57          46         44
          57          51         19
          57          55         42
          57          57         22
          57          59         77
          57          60         79
          57          62        163
          57          63         73
          57          64         32
          57          65         28
          57          66         18
          57          67         16
          57          68          7
          57          69         40
          57          71         90
          57          73         45
          57          75          6
          57          76         88
          57          77         33
          57          78         88
          57          79         63
          57          80         21
          57          84         59
          57          89         27
          57          90        164
          58          48         18
          58          58         12
          58          63          9
          58          64         31
          58          67         13
          58          69         51
          58          78         28
          58          80         14
          58          89         28
          58          90          5
          59           1         50
          59          18         11
          59          22         13
          59          26         14
          59          34         44
          59          35         18
          59          36         46
          59          37         10
          59          38         43
          59          39         11
          59          42         13
          59          45         20
          59          46         31
          59          54         34
          59          60         22
          59          62         35
          59          64         18
          59          66         98
          59          68          5
          59          72         25
          59          77         22
          59          78         27
          59          79         31
          59          90         79
          60          11         43
          60          36         18
          60          38         10
          60          42         14
          60          63         15
          60          64         16
          60          65         29
          60          66         50
          60          70         26
          60          71         17
          60          84         47
          61          17          7
          61          71         33
          62          16         12
          62          22         11
          62          25         18
          62          26         19
          62          36         15
          62          37         15
          62          48         10
          62          52         22
          62          58         19
          62          59         11
          62          61         25
          62          62         13
          62          64         33
          62          65         18
          62          66         37
          62          71         13
          62          72          6
          62          75         12
          62          78         28
          62          79         35
          62          80         43
          62          82         20
          62          84         67
          62          89         20
          63          15         40
          63          22         29
          63          25         30
          63          26         14
          63          34         63
          63          35         23
          63          36         15
          63          37         10
          63          38         11
          63          40         34
          63          41         17
          63          42         26
          63          43          9
