Fri Feb 07 2020 22:28:36 GMT-0500 (Eastern Standard Time) - Run Time: 2867ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1900-2400
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig      trip_m      total
          25        1482         49
          25        1483         18
          25        1489         15
          25        1522         19
          25        1548         12
          25        1552         30
          25        1626         18
          25        1679         35
          25        1740         17
          25        1765         30
          25        1813         25
          25        1815         18
          25        1839         15
          25        1883         37
          25        1991          5
          25        2073        186
          25        2097         18
          25        2101         29
          25        2118         18
          25        2135         18
          25        2172         33
          25        2178         15
          25        2227         18
          25        2231         17
          25        2256         15
          25        2287         10
          25        2315         26
          25        2355         15
          25        2367         23
          25        2387         21
          25        2487         15
          25        2524         26
          25        2544         93
          25        2931          8
          25        2979         41
          25        3036         22
          25        3103         19
          25        3115         12
          25        3130        132
          25        3148         15
          25        3578         21
          25        3681         26
          25        3710          4
          25        4261         11
          25        5445          8
          26          55         17
          26         197         14
          26         260         16
          26         314         14
          26         392         10
          26         451         35
          26         475         21
          26         621         12
          26         643         17
          26         698         12
          26        1106         23
          26        1123         15
          26        1215         16
          26        1227         16
          26        1264         19
          26        1323         17
          26        1915         13
          26        2206         15
          26        2290         12
          26        2339         15
          26        2565         28
          26        2605         12
          26        2623          4
          26        3313         19
          26        4130         17
          28         626         10
          28        1113         11
          29        1203         10
          29        2457         18
          29        2657         44
          29        3174         47
          30        2136         28
          31         264         17
          31         516         19
          31         698         12
          31         785         14
          31        1399         17
          31        1689         37
          31        1973         21
          31        2006          4
          31        2312         22
          31        2735          8
          31        2930          8
          32         515         17
          33        1424         11
          33        1766          8
          33        4333          5
          34         241         21
          34         250         23
          34         583          9
          34         637         21
          34         655         10
          34         750         10
          34         767         13
          34         890         31
          34        1060         54
          34        1142         12
          34        1182         10
          34        1359         53
          34        1464         25
          34        1527         44
          34        1681         36
          34        1711         12
          34        1812         14
          34        2315         17
          34        2356         13
          34        2397         14
          34        2814         49
          34        3033         15
          34        3194         36
          34        3317          6
          34        3436         15
          34        3516         22
          34        3612         16
          34        5910         21
          35          89         10
          35          98         39
          35         172         12
          35         180         31
          35         250         23
          35         394         10
          35         408         10
          35         474         10
          35         496         11
          35         530         17
          35         600         13
          35         664         12
          35         767         15
          35         794         23
          35         870         23
          35         884         22
          35         976         14
          35        1137         23
          35        1328         20
          35        1368         18
          35        1541          9
          35        1689         31
          35        1787         20
