Fri Feb 07 2020 22:15:53 GMT-0500 (Eastern Standard Time) - Run Time: 2853ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 600-900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
           1           1          8
           1           4         31
           1          18         15
           1          35         14
           1          37         14
           1          49          6
           1          55         47
           1          56         31
           1          57         82
           1          65         15
           1          68         14
           1          76         23
           1          77         20
           1          89          7
           3          19         15
           3          23         27
           4           5         15
           4          10         10
           4          66         47
           4          71          9
           5           3         15
           5           4         25
           5          54         20
           5          63          5
           5          65         15
           5          78          8
           6           6         12
           6          55         14
           9          16         25
           9          42         17
          11          21         38
          11          62         14
          13          25         21
          14           5         41
          14          25         67
          14          26         30
          14          33         14
          14          36         14
          14          37         18
          14          45         14
          14          50         14
          14          52         19
          14          55         15
          14          57         40
          14          60         18
          14          66         50
          14          89         19
          15           5         11
          15          15         16
          15          16         13
          15          22         27
          15          24          5
          15          25         47
          15          26         29
          15          28         26
          15          35         32
          15          36        112
          15          37         12
          15          38         19
          15          39         19
          15          40         13
          15          41         53
          15          43         39
          15          45         34
          15          47         14
          15          49         44
          15          50         14
          15          51         63
          15          52         35
          15          53         62
          15          54         14
          15          55         48
          15          56         38
          15          57        112
          15          59         14
          15          60         14
          15          65         27
          15          66        100
          15          67         25
          15          68         14
          15          69         32
          15          74         22
          15          75         38
          15          77         40
          15          89         64
          16           4         31
          16           9         25
          16          16          9
          16          17        132
          16          21         22
          16          23         17
          16          24         79
          16          25         12
          16          34         38
          16          36          8
          16          37          9
          16          39         21
          16          44         25
          16          45         12
          16          51         45
          16          52         12
          16          53          7
          16          54         68
          16          55        106
          16          56         21
          16          57         33
          16          60         21
          16          63         12
          16          65         19
          16          66         13
          16          67         12
          16          68         55
          16          70          7
          16          77         28
          16          89         13
          16          90         34
          17           2          5
          17           5         13
          17          15         31
          17          16         49
          17          17        105
          17          19         30
          17          21        178
          17          22         63
          17          25         64
          17          35          5
          17          36         45
          17          37         21
          17          38        128
          17          40         38
          17          42          7
          17          43         10
          17          44         16
          17          45         17
          17          46         30
          17          47         14
          17          48         36
          17          49         66
          17          50         71
          17          51         39
          17          52         23
          17          53         51
          17          54         28
          17          55         53
          17          56         25
          17          57         61
          17          58         11
          17          59         12
          17          60          5
          17          63         16
          17          65         18
          17          66        161
          17          67         58
          17          68        115
          17          69         94
          17          73         10
          17          75         24
          17          77         16
          17          78        135
          17          89         17
          17          90         36
          18           4         19
          18          17         27
          18          19        223
          18          21         15
          18          22        284
          18          23         87
          18          34         16
          18          36         12
          18          37          7
          18          43          7
          18          45          9
          18          49         32
          18          51         51
          18          52         16
          18          53         16
          18          55         58
          18          56         64
          18          57         64
          18          59         11
          18          60         54
          18          62         54
          18          67         30
          18          68         26
          18          69         10
          18          77         15
          19          17          3
          19          18         54
          19          19         27
          19          20         23
          19          21         17
          19          22         48
          19          23         15
          19          24         11
          19          25         11
          19          36          3
          19          37         15
          19          43         13
          19          47         90
          19          48         29
          19          50         12
          19          51         17
          19          53          9
          19          54         10
          19          55         25
          19          56          5
          19          57          3
          19          63         15
          19          65          5
          19          68         42
          19          69         65
          19          81         14
          20           5          3
          20          19         30
          20          20          5
          20          25         12
          20          33         15
          20          35          5
          20          36          4
          20          43          6
          20          45          7
          20          49          4
          20          50          6
          20          51         12
          20          52          5
          20          54         11
          20          55         30
          20          57         76
          20          60         38
          20          65         33
          20          66          4
          20          67         52
          20          68          3
          20          69         25
          20          71          7
          20          80         17
          21          11         38
          21          16          5
          21          17         35
          21          21        399
          21          22        662
          21          23        130
          21          25         89
          21          26         15
          21          29         39
          21          32         10
          21          34         18
          21          35         38
          21          36        207
          21          37         50
          21          38         46
          21          41         63
          21          42         56
          21          43        178
          21          44        140
          21          45        175
          21          47        115
          21          48         10
          21          49         49
          21          50         75
          21          51        278
          21          52         65
          21          53         19
          21          54        125
          21          55         98
          21          56         42
          21          57        214
          21          60         50
          21          65        194
          21          66        200
          21          67         74
          21          68        293
          21          69        176
          21          70         17
          21          73         98
          21          77         19
          21          78         17
          21          84         74
          21          89         44
          21          90        127
          22           3         25
          22           5         43
          22           6         13
          22          15         17
          22          17         31
          22          18         44
          22          19         25
          22          20          9
          22          21         78
          22          22        149
          22          23         99
          22          25         46
          22          32         19
          22          35         43
          22          36         47
          22          37         72
          22          38        104
          22          39         32
          22          40         18
          22          41         20
          22          42         24
          22          43         44
          22          45        115
          22          46         43
          22          47         44
          22          48         15
          22          49        104
          22          50         72
          22          51         28
          22          52         30
          22          54         69
          22          55         28
          22          56         43
          22          57         96
          22          58         22
          22          60         33
          22          62         39
          22          63         16
          22          65         47
          22          66         39
          22          67         61
          22          68        135
          22          69         63
          22          70         49
          22          72         42
          22          73         28
          22          74          4
          22          75         12
          22          76         30
          22          77         18
          22          80         37
          23          17         46
          23          19          5
          23          20          5
          23          22         68
          23          25         10
          23          36        148
          23          38        157
          23          40          5
          23          43          5
          23          45         48
          23          47          5
          23          50         47
          23          54         28
          23          56         37
          23          63        111
          23          65         47
          23          66         31
          23          69          5
          23          72         63
          24          16         88
          24          21          5
          24          22          5
          24          25         96
          24          26          5
          24          34         34
          24          36         19
          24          37         23
          24          38        142
          24          39        102
          24          40         33
          24          45         71
          24          49         62
          24          52         58
          24          54         16
          24          55         89
          24          56         81
          24          57         10
          24          63         17
          24          67         86
          24          68         57
          24          69         43
          24          78         43
          24          88         23
          24          89          5
          25          16         43
          25          17         30
          25          18          8
          25          21         51
          25          22         43
          25          23          9
          25          24         24
          25          25         84
          25          26         39
          25          29         55
          25          33         33
          25          34         21
          25          35         83
          25          36        214
          25          37         99
          25          38         77
          25          40         13
          25          41         12
          25          43         62
          25          45         66
          25          46          6
          25          47        127
          25          49         18
          25          50         34
          25          51         95
          25          52         84
          25          53         33
          25          54        171
          25          55        347
          25          56        210
          25          57        272
          25          59         12
          25          60         49
          25          62         12
          25          63        115
          25          65        184
          25          66        132
          25          67         27
          25          68        114
          25          69         49
          25          70         56
          25          71         19
          25          77         39
          25          78         59
          25          86         12
          25          89         25
          25          90         17
          26           6         33
          26          15         66
          26          17         28
          26          20         19
