Fri Feb 07 2020 22:16:43 GMT-0500 (Eastern Standard Time) - Run Time: 3423ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 900-1500
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
           1           3         34
           1           4         18
           1           6          8
           1           9         11
           1          21         17
           1          26         55
           1          34         43
           1          36         11
           1          37         11
           1          46         17
           1          53         14
           1          56          6
           1          57          7
           1          69         20
           1          71          7
           1          81         26
           2          17          5
           2          49         26
           2          65          6
           2          72         14
           3           1         79
           3           4         25
           3           5         15
           3           6         44
           3          16          6
           3          79         13
           3          80          4
           3          82          4
           4           1         55
           4           3         25
           4           4         10
           4           6          9
           4          10         19
           4          16         15
           4          22         15
           4          66         61
           4          90          4
           5           3         51
           5           4         30
           5          20          3
           5          21         28
           5          23         46
           5          24         50
           5          25         18
           5          38         16
           5          65         18
           5          78          8
           5          90         19
           6           1         17
           6           3        110
           6           4          9
           6           5         26
           6           6         39
           6          16         12
           6          17         44
           6          19         18
           6          22         13
           6          25         11
           6          26         16
           6          34         33
           6          36         33
           6          64         27
           6          71         61
           6          79         22
           9           1         11
           9          11         14
           9          17          5
           9          34          6
           9          68         25
          10           4         10
          10          51          5
          11           9         14
          11          11         39
          11          15         27
          11          25         24
          11          30          6
          11          63          6
          11          80         14
          11          90          5
          13           3          9
          14          16         17
          14          25         85
          14          28         12
          14          36         37
          14          38          7
          14          50         14
          14          52          3
          14          55         16
          15          11         27
          15          14         13
          15          15        117
          15          16         43
          15          19         13
          15          25         65
          15          26         55
          15          29         10
          15          32         25
          15          34         34
          15          36         20
          15          39         24
          15          40         13
          15          44         12
          15          49         17
          15          50         15
          15          51          8
          15          52         25
          15          54         14
          15          55         14
          15          57         27
          15          58         16
          15          61         14
          15          63         16
          15          64         18
          15          65         10
          15          66         68
          15          67         12
          15          68         12
          15          69         21
          15          70         15
          15          77         17
          15          78         20
          15          90         17
          16           3         18
          16           4         15
          16           5         22
          16           6         12
          16          14         21
          16          15          3
          16          16         59
          16          17         20
          16          18        133
          16          21         10
          16          23         74
          16          24         18
          16          25         75
          16          26          6
          16          33          5
          16          35         32
          16          36         14
          16          37         38
          16          38         11
          16          39         21
          16          40         34
          16          42         20
          16          43         13
          16          46         15
          16          52          6
          16          54         42
          16          55         12
          16          56          7
          16          59         12
          16          62         11
          16          63         12
          16          65         34
          16          66         61
          16          67         21
          16          68         32
          16          69         53
          16          70         12
          16          72         31
          16          77         12
          16          78         21
          16          79          4
          16          81         10
          16          89         19
          16          90          9
          17           9          5
          17          11         12
          17          16         67
          17          17         93
          17          18        122
          17          19         92
          17          21         82
          17          22         18
          17          23         37
          17          24         50
          17          25         83
          17          26         28
          17          31         14
          17          32          8
          17          35         42
          17          37         32
          17          38         75
          17          41         10
          17          43         16
          17          44         24
          17          45         49
          17          46         14
          17          47         31
          17          48         14
          17          49         22
          17          50         56
          17          51         23
          17          52        143
          17          53         21
          17          55         36
          17          56         51
          17          57         31
          17          59         12
          17          62         43
          17          66         87
          17          67         27
          17          68         13
          17          69         27
          17          70         25
          17          71         31
          17          72         27
          17          77         19
          17          89         20
          17          90         47
          18           4         19
          18          16         32
          18          17        226
          18          18         38
          18          19         66
          18          22         28
          18          23         19
          18          24         56
          18          25         21
          18          26         13
          18          38         84
          18          40         82
          18          43         28
          18          45         28
          18          50          5
          18          51         18
          18          52         70
          18          53         15
          18          54         28
          18          65         16
          18          66         32
          18          67         49
          18          68         47
          19           6         18
          19          14          3
          19          15         12
          19          17         11
          19          18        248
          19          19        137
          19          20         59
          19          21         83
          19          22         41
          19          23         78
          19          24         10
          19          25         35
          19          31         21
          19          38         15
          19          42         14
          19          45         13
          19          46          4
          19          47        100
          19          48          3
          19          49         40
          19          50         54
          19          51         31
          19          53          4
          19          54         21
          19          55         25
          19          63         15
          19          66          3
          19          67          4
          19          68          5
          19          69         17
          19          80         17
          19          90         18
          20           5          7
          20           6          3
          20          16          3
          20          17         11
          20          19         65
          20          20          4
          20          21          3
          20          22          6
          20          23         25
          20          25         13
          20          37          3
          20          38         35
          20          43         29
          20          45         11
          20          46         13
          20          50          4
          20          52          5
          20          55          8
          20          66         15
          20          69         11
          20          70          5
          20          71          7
          20          78         14
          20          89         16
