xcoord,ycoord
-79.415829334085,43.6414202970518
-79.4105939180411,43.6444667976311
-79.418848406722,43.6381416106767
-79.4097949999962,43.6653538997019
-79.3894624001018,43.6760028999632
-79.3133716000068,43.6655115995931
-79.3125532075968,43.6664962249954
-79.3096093000985,43.6659309001531
-79.309290700072,43.6675258003246
-79.3083313408484,43.6677212714039
-79.307019799891,43.6680473005178
-79.3059241999938,43.6682923996786
-79.3100073001778,43.6626479996761
-79.3127163001295,43.6604451002175
-79.4075680910532,43.6652144341403
-79.4043443995705,43.6670654004147
-79.402684300019,43.6675970999474
-79.4015761938712,43.6680103665875
-79.3975304001887,43.6687528000769
-79.3912622000316,43.671330699866
-79.3853592001398,43.6692530993453
-79.3847829420426,43.6677257995047
-79.373132852212,43.6646511985649
-79.3836589999425,43.6649379994477
-79.3688584356372,43.6647705721297
-79.4030546030434,43.6542630254528
-79.4002873534537,43.654596270557
-79.3964382641325,43.6526520749827
-79.3923646998386,43.6570930995368
-79.3863492695638,43.6559802324124
-79.3804528677861,43.6565682472671
-79.3182335999369,43.6646029006519
-79.4089133273751,43.6365455934827
-79.4069202701669,43.6373038987188
-79.4086983549137,43.6331816542964
-79.3987419279862,43.6364392432128
-79.399230658855,43.6416509637524
-79.4004908836883,43.6482740918485
-79.3968220904785,43.6472020244941
-79.3827237001142,43.6455357996373
-79.384990899852,43.6519249001152
-79.3771533872264,43.6525224933164
-79.3744949283647,43.6525474934107
-79.3730904054203,43.6464784630048
-79.3659027962894,43.6446541303182
-79.3654147646039,43.6439395739269
-79.3629303509135,43.650869920152
-79.362365199987,43.6499343999225
-79.3612446174795,43.6489073159843
-79.3685727692867,43.6531169880857
-79.3589809123575,43.6519856226266
-79.3574606955357,43.6536576713066
-79.3549979001485,43.6536634994151
-79.3557652081482,43.6524136689945
-79.3581104000721,43.6503953001961
